2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=11 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.071100
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=12 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.003500
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=12 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002600
2026-02-01 21:41:49 | IPv4:192.168.68.123 | seq=12 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.053300
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=13 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.008200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=13 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.048500
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=13 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.074600
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=14 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002600
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=14 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=14 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=15 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.004500
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=15 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.034600
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=15 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.054000
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=16 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001900
